"chr","phenotype","gene","SKAT","BT","SKAT.O","SKAT.d","BT.d"
8,"log_TRIG","HGSNAT",0.651014917148248,0.606098343636013,0.773672964788141,0.642747407293728,0.558273514287317
2,"log_TRIG","FAHD2A",0.661275684390991,0.743047305750036,0.763851660966913,0.642783564725683,0.354620352949696
19,"log_TRIG","MED25",0.616035647655402,0.380934895993724,0.577459207789548,0.642812552833241,0.891269940035054
12,"log_TRIG","RDH5",0.659208396738363,0.411284557968044,0.572124172137278,0.642833210499933,0.111959640987666
22,"log_TRIG","CYP2D6",0.653037708487215,0.38319329367607,0.57214000300429,0.642993833888738,0.415157757246083
3,"log_TRIG","OXNAD1",0.643940968909022,0.865274401668346,0.774494632707579,0.643295936834989,1
2,"log_TRIG","VWA3B",0.685380341934515,0.920768620036268,0.842800317026867,0.643363906823819,0.208662078370318
1,"log_TRIG","HES3",0.649366225342322,0.840106767514961,0.802809432941914,0.643661413560325,0.610810320821676
2,"log_TRIG","PPP4R3B",0.639830218931297,0.883619802545033,0.816869154280899,0.643789267389861,0.642932702497137
7,"log_TRIG","EIF3B",0.666288732926475,0.508419210418514,0.696610794803639,0.64379590664875,0.484593201259411
19,"log_TRIG","POLRMT",0.643118603864165,0.680642708882398,0.845393914061623,0.643958037617745,0.559298714678112
13,"log_TRIG","ERCC5",0.63784735446706,0.228512616268671,0.369304357214977,0.6441869307301,0.629241053751297
8,"log_TRIG","DNAJC5B",0.68508358411784,0.41502713553168,0.542661822959467,0.644422526731387,0.23974600608856
2,"log_TRIG","LRRTM4",0.64818555081465,0.369578529842235,0.517890470616778,0.644451860238179,1
22,"log_TRIG","FBLN1",0.659671021446908,0.749147443489791,0.797631589251678,0.644492402867475,0.547745386151476
16,"log_TRIG","ADGRG1",0.662981540207966,0.376088988157596,0.509557609884255,0.644547320427862,0.430589100413634
20,"log_TRIG","ANGPT4",0.695764092693111,0.460901124513296,0.630454615451957,0.644566008304004,0.267143842663096
2,"log_TRIG","CGREF1",0.644013966259351,0.801467984156439,0.791669159406206,0.644594888111382,0.703485231534596
7,"log_TRIG","GIMAP6",0.599682390006261,0.840206720964912,0.727527472850606,0.644623611092546,0.813719116913221
22,"log_TRIG","IL2RB",0.697602801057959,0.904924118569476,0.819683327457761,0.644724789846514,0.203930224852444
4,"log_TRIG","STIM2",0.629984131718917,0.439386958896661,0.627301153937438,0.644780159088623,0.687053599850568
1,"log_TRIG","S100A11",0.650280482968012,0.4383197312532,0.578774080793924,0.644972985648864,1
3,"log_TRIG","CRELD1",0.668945719387749,0.252721083374904,0.373753721010429,0.645009816441778,0.387197466739344
5,"log_TRIG","CDC20B",0.601957151254505,0.952128680963361,0.7828198344798,0.645019757516661,0.946039622900182
1,"log_TRIG","LMNA",0.67744778739072,0.87485179043518,0.846087055456215,0.645247602983062,0.187727123769915
2,"log_TRIG","CAPN13",0.686230014894982,0.562282787320941,0.723294331748582,0.645382834326963,0.143926030485029
5,"log_TRIG","MZB1",0.684564122444568,0.775581636583082,0.785937663454539,0.645506094318085,0.378310835443859
4,"log_TRIG","C4orf33",0.685334104053457,0.682021807877255,0.811933141453111,0.645739255532081,0.178468142259437
3,"log_TRIG","PDZRN3",0.632933807227935,0.681344947391859,0.810672729776148,0.645753461024534,0.782411048198577
13,"log_TRIG","ING1",0.688138269604826,0.443972335661147,0.590635194634076,0.645885790089519,0.196069167034062
19,"log_TRIG","HRC",0.689663582081501,0.892951350842603,0.856516172564953,0.645901170711461,0.211216972395685
10,"log_TRIG","THNSL1",0.658511352023744,0.904717249346275,0.831617369565499,0.646017458190725,0.425647403839082
